season,no_overall,no_season,title,premiere_date,viewers,change_from_previous
1,1,1,Winter Is Coming,2011-04-17,2.22,
1,2,2,The Kingsroad,2011-04-24,2.2,-0.020000000000000018
1,3,3,Lord Snow,2011-05-01,2.44,0.23999999999999977
1,4,4,"Cripples, Bastards, and Broken Things",2011-05-08,2.45,0.010000000000000231
1,5,5,The Wolf and the Lion,2011-05-15,2.58,0.1299999999999999
1,6,6,A Golden Crown,2011-05-22,2.44,-0.14000000000000012
1,7,7,You Win or You Die,2011-05-29,2.4,-0.040000000000000036
1,8,8,The Pointy End,2011-06-05,2.72,0.3200000000000003
1,9,9,Baelor,2011-06-12,2.66,-0.06000000000000005
1,10,10,Fire and Blood,2011-06-19,3.04,0.3799999999999999
2,11,1,The North Remembers,2012-04-01,3.86,0.8199999999999998
2,12,2,The Night Lands,2012-04-08,3.76,-0.10000000000000009
2,13,3,What Is Dead May Never Die,2012-04-15,3.77,0.010000000000000231
2,14,4,Garden of Bones,2012-04-22,3.65,-0.1200000000000001
2,15,5,The Ghost of Harrenhal,2012-04-29,3.9,0.25
2,16,6,The Old Gods and the New,2012-05-06,3.88,-0.020000000000000018
2,17,7,A Man Without Honor,2012-05-13,3.69,-0.18999999999999995
2,18,8,The Prince of Winterfell,2012-05-20,3.86,0.16999999999999993
2,19,9,Blackwater,2012-05-27,3.38,-0.48
2,20,10,Valar Morghulis,2012-06-03,4.2,0.8200000000000003
3,21,1,Valar Dohaeris,2013-03-31,4.37,0.16999999999999993
3,22,2,"Dark Wings, Dark Words",2013-04-07,4.27,-0.10000000000000053
3,23,3,Walk of Punishment,2013-04-14,4.72,0.4500000000000002
3,24,4,And Now His Watch Is Ended,2013-04-21,4.87,0.15000000000000036
3,25,5,Kissed by Fire,2013-04-28,5.35,0.47999999999999954
3,26,6,The Climb,2013-05-05,5.5,0.15000000000000036
3,27,7,The Bear and the Maiden Fair,2013-05-12,4.84,-0.6600000000000001
3,28,8,Second Sons,2013-05-19,5.13,0.29000000000000004
3,29,9,The Rains of Castamere,2013-06-02,5.22,0.08999999999999986
3,30,10,Mhysa,2013-06-09,5.39,0.16999999999999993
4,31,1,Two Swords,2014-04-06,6.64,1.25
4,32,2,The Lion and the Rose,2014-04-13,6.31,-0.33000000000000007
4,33,3,Breaker of Chains,2014-04-20,6.59,0.28000000000000025
4,34,4,Oathkeeper,2014-04-27,6.95,0.3600000000000003
4,35,5,First of His Name,2014-05-04,7.16,0.20999999999999996
4,36,6,The Laws of Gods and Men,2014-05-11,6.4,-0.7599999999999998
4,37,7,Mockingbird,2014-05-18,7.2,0.7999999999999998
4,38,8,The Mountain and the Viper,2014-06-01,7.17,-0.03000000000000025
4,39,9,The Watchers on the Wall,2014-06-08,6.95,-0.21999999999999975
4,40,10,The Children,2014-06-15,7.09,0.13999999999999968
5,41,1,The Wars to Come,2015-04-12,8.0,0.9100000000000001
5,42,2,The House of Black and White,2015-04-19,6.81,-1.1900000000000004
5,43,3,High Sparrow,2015-04-26,6.71,-0.09999999999999964
5,44,4,Sons of the Harpy,2015-05-03,6.82,0.11000000000000032
5,45,5,Kill the Boy,2015-05-10,6.56,-0.2600000000000007
5,46,6,"Unbowed, Unbent, Unbroken",2015-05-17,6.24,-0.3199999999999994
5,47,7,The Gift,2015-05-24,5.4,-0.8399999999999999
5,48,8,Hardhome,2015-05-31,7.01,1.6099999999999994
5,49,9,The Dance of Dragons,2015-06-07,7.14,0.1299999999999999
5,50,10,Mother's Mercy,2015-06-14,8.11,0.9699999999999998
6,51,1,The Red Woman,2016-04-24,7.94,-0.16999999999999904
6,52,2,Home,2016-05-01,7.29,-0.6500000000000004
6,53,3,Oathbreaker,2016-05-08,7.28,-0.009999999999999787
6,54,4,Book of the Stranger,2016-05-15,7.82,0.54
6,55,5,The Door,2016-05-22,7.89,0.0699999999999994
6,56,6,Blood of My Blood,2016-05-29,6.71,-1.1799999999999997
6,57,7,The Broken Man,2016-06-05,7.8,1.0899999999999999
6,58,8,No One,2016-06-12,7.6,-0.20000000000000018
6,59,9,Battle of the Bastards,2016-06-19,7.66,0.0600000000000005
6,60,10,The Winds of Winter,2016-06-26,8.89,1.2300000000000004
7,61,1,Dragonstone,2017-07-16,10.1,1.209999999999999
7,62,2,Stormborn,2017-07-23,9.27,-0.8300000000000001
7,63,3,The Queen's Justice,2017-07-30,9.25,-0.019999999999999574
7,64,4,The Spoils of War,2017-08-06,10.1,0.8499999999999996
7,65,5,Eastwatch,2017-08-13,10.7,0.5999999999999996
7,66,6,Beyond the Wall,2017-08-20,10.2,-0.5
7,67,7,The Dragon and the Wolf,2017-08-27,12.0,1.8000000000000007
8,68,1,Winterfell,2019-04-14,11.7,-0.3000000000000007
8,69,2,A Knight of the Seven Kingdoms,2019-04-21,10.2,-1.5
8,70,3,The Long Night,2019-04-28,12.0,1.8000000000000007
8,71,4,The Last of the Starks,2019-05-05,11.8,-0.1999999999999993
8,72,5,The Bells,2019-05-12,12.4,0.5999999999999996
8,73,6,The Iron Throne,2019-05-19,13.6,1.1999999999999993
